trackname,tracktype,importance,currentcon,lastcut,nextcut,importance,lastcheck,history,custodian,track_geometry
Roaring Billy Hut track,TrackFormed,3,previous cut was 2018. NZFS Track sections were fully cleared in early March 2025.,1.74079E+12,,3,1.74083E+12,,"Geoff Spearpoint, Andrew Buglass","MULTILINESTRING((18844752.16579635 -5456042.143745756,18844744.86379635 -5456032.565245765,18844733.862396367 -5456018.133745772,18844732.748996355 -5456016.673245762,18844730.12279635 -5455999.428545762,18844733.78829636 -5455986.368945765,18844752.460696355 -5455975.159145764,18844753.634196352 -5455974.454445773,18844758.72589635 -5455974.519245761,18844792.91439636 -5455974.954145767,18844815.216796353 -5455956.359245764,18844835.26429636 -5455939.456345768,18844849.281396363 -5455927.638045755,18844861.286296368 -5455927.604945762,18844869.704096366 -5455927.58154576,18844871.13799636 -5455927.577545765,18844876.34709637 -5455922.674445763,18844895.057596363 -5455905.062745766,18844897.29139636 -5455904.312245761,18844978.818996377 -5455876.922445768,18845010.74909637 -5455878.531045768,18845043.81799637 -5455860.671145758,18845083.889496375 -5455867.707945766,18845096.953696374 -5455870.002045757,18845174.615596376 -5455816.741045758,18845194.87439638 -5455821.144245756,18845197.994296387 -5455821.776945754,18845265.617996395 -5455835.487545758,18845282.339496393 -5455838.877845765,18845302.569896385 -5455842.979445759,18845720.76119642 -5455588.2017457625,18845763.062596425 -5455566.559645762,18845767.51529642 -5455548.009345758,18845774.194496416 -5455531.004945751,18845788.66609642 -5455517.092245752,18845807.590396415 -5455512.4546457585,18845820.94869643 -5455498.5420457525,18845845.43899643 -5455495.450345757,18845901.098696433 -5455475.3543457575,18845917.796696424 -5455419.704045752,18845927.81539643 -5455377.966645749,18845928.92859642 -5455356.3250457505,18845932.268196423 -5455294.492245754,18845934.49459643 -5455231.114045757,18845950.079296425 -5455194.014845751,18845964.550796434 -5455181.648445754,18845985.701496433 -5455144.549445748,18846014.644596435 -5455108.996345746,18846024.663396437 -5455090.446945747,18846053.60639644 -5455064.168745758,18846063.62519644 -5455047.165245753,18846078.096696433 -5455028.615945744,18846089.228696432 -5455010.066745742,18846098.134196434 -5454993.063345748,18846112.60579645 -5454979.15144574,18846119.284896437 -5454960.602345752,18846128.19049644 -5454942.053245749,18846149.341196436 -5454906.500945746,18846163.812696446 -5454887.95194574,18846168.265496437 -5454870.948745738,18846182.736996442 -5454852.399845741,18846193.868996445 -5454833.851045744,18846202.774596438 -5454816.847945738,18846218.35929644 -5454793.661945741,18846238.396796435 -5454758.110145748,18846252.86829645 -5454744.198645749,18846262.887096453 -5454725.6500457395,18846287.377396446 -5454704.010045735,18846305.188496448 -5454691.64424574,18846319.659996442 -5454677.732845736,18846330.791996457 -5454659.184345741,18846327.452396452 -5454640.635845732,18846318.546796445 -5454622.087445745,18846309.641296443 -5454601.99334574,18846310.75449645 -5454580.353645744,18846317.433596443 -5454561.805245747,18846326.33919644 -5454543.257045733,18846340.81069645 -5454530.891545733,18846346.37669644 -5454512.3432457335,18846351.94269645 -5454493.795145744,18846371.980196454 -5454458.244545731,18846381.998896442 -5454438.1508457335,18846386.451696455 -5454421.148445737,18846400.923296448 -5454407.237445729,18846412.055196453 -5454390.235145736,18846422.073996462 -5454371.68724574,18846452.130196456 -5454340.774045732,18846456.582996447 -5454322.226245733,18846485.526096452 -5454295.950245734,18846496.657996453 -5454258.854745738,18846517.80869646 -5454204.757445732,18846527.82749645 -5454186.20994573,18846542.298996467 -5454173.84494573,18846547.864996463 -5454153.751845728,18846561.223296467 -5454141.386845739,18846581.26079645 -5454105.837645733,18846595.73239646 -5454091.927045726,18846611.317096468 -5454054.832445727,18846621.335796464 -5454037.8308457285,18846635.807396475 -5454023.9203457255,18846648.052496463 -5453986.826045724,18846656.958096467 -5453969.824545725,18846675.882396463 -5453971.370145721,18846687.01429647 -5453954.368645729,18846691.467096467 -5453935.821545725,18846698.14629647 -5453917.274545734,18846699.25949646 -5453875.543845731,18846704.825496465 -5453856.997045723,18846724.862996474 -5453821.448845721,18846730.42889647 -5453802.902145722,18846744.90049647 -5453790.537645727,18846753.805996474 -5453771.99084572,18846768.27759647 -5453759.626445728,18846779.40949648 -5453739.534245728,18846793.881096475 -5453727.169745725,18846799.44699646 -5453703.986545728,18846813.91859647 -5453685.440045723,18846825.050496478 -5453649.892545725,18846839.52199648 -5453637.528245722,18846843.97479648 -5453617.436345718,18846855.10679647 -5453600.435445728,18846864.841896474 -5453582.414145718,18846884.049796477 -5453569.524945719,18846888.502596483 -5453549.433145716,18846899.634596482 -5453532.432445721,18846904.087296482 -5453515.431745722,18846905.200496476 -5453495.340045716,18846916.332496483 -5453459.793345728,18846945.27559649 -5453433.519745719,18846959.74709649 -5453414.973745719,18846978.671396483 -5453407.246245719,18846993.142896485 -5453393.3368457155,18847003.161696482 -5453374.790845718,18847032.104796488 -5453348.517545724,18847052.142296493 -5453312.9714457095,18847058.821396496 -5453292.880145709,18847054.368696485 -5453275.879945718,18847148.915196493 -5453100.994745711,18847236.8904965 -5453033.881845714,18847319.3609965 -5452719.4710457055,18847765.362996534 -5451980.821645687,18847800.780396536 -5451818.194945698,18847831.19039653 -5451682.547845688,18847880.35929653 -5451625.460445689,18847898.170396537 -5451622.37004569,18847918.207896538 -5451623.915245685,18847936.018996533 -5451614.644045683,18847941.584996536 -5451596.101745691,18847956.056496542 -5451583.740245687,18847966.075296544 -5451565.197945687,18847980.546796534 -5451551.29124569,18847984.99959654 -5451532.749045689,18847996.13159653 -5451515.752045677,18848006.15029654 -5451497.209945692,18848011.716296542 -5451478.667845688,18848026.187796533 -5451461.670945677,18848036.206596542 -5451443.128945683,18848065.149596542 -5451415.315945684,18848085.18709654 -5451381.322445674,18848099.658696543 -5451367.416045686,18848109.677396543 -5451348.874145686,18848138.62049654 -5451321.061445681,18848148.639296558 -5451285.523145675,18848164.223996546 -5451249.985045681,18848178.695496544 -5451231.443445681,18848179.808696546 -5451212.901845681,18848203.18579655 -5451140.281145686,18848222.110096544 -5451103.198345677,18848224.336496547 -5451056.845145673,18848234.355296563 -5451039.849045689,18848235.468496554 -5451016.672645669,18848249.939996548 -5451002.766745677,18848259.958696555 -5450985.770745672,18848265.524696555 -5450965.6846456705,18848285.56219655 -5450930.147645681,18848286.675396547 -5450911.606745684,18848296.694196552 -5450893.065745672,18848306.712896552 -5450855.984045673,18848316.731696554 -5450838.988345682,18848332.316396557 -5450821.992645673,18848342.335196555 -5450801.906845665,18848352.353896555 -5450766.370545671,18848362.37269655 -5450747.829945673,18848363.485896565 -5450724.654145664,18848374.617796555 -5450706.113645673,18848380.183796555 -5450664.39754567,18848400.221296553 -5450624.226645671,18848420.25879656 -5450616.501545668,18848445.86229656 -5450525.3453456685,18848460.33379657 -5450506.805145663,18848467.01299656 -5450488.265045662,18848468.126196563 -5450465.090045664,18848470.352596566 -5450424.92004567,18848485.93729656 -5450387.840145667,18848490.39009657 -5450369.3003456695,18848504.861596562 -5450350.76054567,18848510.427596558 -5450332.220745667,18848524.899096563 -5450319.860845666,18848546.049796563 -5450264.241845661,18848562.747796565 -5450205.53314566,18848563.86099657 -5450182.358845659,18848569.42689656 -5450163.81934567,18848588.351196565 -5450128.285545671,18848595.030396566 -5450109.746145665,18848609.501896568 -5450091.206845664,18848618.40749657 -5450072.667645664,18848632.87899658 -5450060.308145666,18848644.010996573 -5450041.768945656,18848658.482496582 -5450023.22974566,18848668.501296572 -5450006.235545652,18848678.519996583 -5449987.696445659,18848678.51999658 -5449969.157445655,18848685.19919658 -5449950.618445657,18848695.217996575 -5449913.540445658,18848697.444296576 -5449871.8279456515,18848697.444296572 -5449850.199345665,18848698.55749657 -5449827.025945665,18848705.236696575 -5449808.4871456595,18848707.463096578 -5449766.775145651,18848711.91589658 -5449748.236545657,18848714.142296582 -5449701.890245651,18848719.70819657 -5449684.896545656,18848719.708196573 -5449664.813245655,18848721.934596576 -5449623.101945655,18848731.95339658 -5449606.108445645,18848737.519396584 -5449587.5701456545,18848738.632596586 -5449564.39734565,18848745.311696578 -5449545.859145645,18848745.311696578 -5449527.321045655,18848747.53809657 -5449480.975745658,18848753.104096577 -5449462.437745658,18848757.556896582 -5449443.8997456515,18848764.235996585 -5449425.361745655,18848774.254796572 -5449388.285945653,18848788.72629658 -5449375.927345647,18848803.197896574 -5449362.024045651,18848813.216596574 -5449345.031045645,18848827.688096587 -5449331.127745643,18848842.159696575 -5449318.76924565,18848856.63119658 -5449304.865945651,18848871.102796577 -5449292.507445651,18848881.121496584 -5449273.969845649,18848895.59299659 -5449261.611445642,18848896.70619659 -5449241.529045649,18848915.630496588 -5449233.805045649,18848920.083296593 -5449215.267545643,18848931.340596586 -5449214.337045655))"
Thomas River Hut track,Route,3,Good,,,3,1.67516E+12,,Geoff Spearpoint,"MULTILINESTRING((18830582.947895385 -5456150.2052457845,18831189.869195428 -5454564.437645757,18830990.544195417 -5454344.891045751,18831067.54909541 -5454095.044245743,18831277.786195435 -5453900.448045734,18831379.48989543 -5453724.883745738,18831573.804395452 -5453587.708545731,18831630.637595445 -5453504.776345725,18831732.68999546 -5453232.019245729,18831933.72309547 -5452967.20524572,18832262.627395503 -5452729.950445724,18832489.11759551 -5452522.818545709,18832696.66649554 -5452151.971245709,18832939.807395548 -5451942.292345701,18833410.38139558 -5451683.361045697,18833521.71849558 -5451351.2575456975,18833651.71659559 -5451152.939345688,18833871.681295607 -5450942.18274569,18833907.432395607 -5450633.176045691,18833883.916895613 -5450530.66654568,18833961.513995606 -5450391.396945684,18834096.84869562 -5450256.466145672,18834115.154695623 -5449966.6069456665,18834255.919495635 -5449785.419945665,18834277.470995635 -5449568.813045654,18834434.81999564 -5449386.738145666,18834716.85349567 -5449029.703445649))"
Tunnel Creek Hut Track,TrackFormed,4,Ok but regrowing. Some work done in 2022.,1.64363E+12,,4,1.64363E+12,,Geoff Spearpoint,"MULTILINESTRING((18869807.8530976 -5429841.417645293,18869715.17709759 -5429963.470945307,18869424.84179758 -5430072.178145305,18869432.32349758 -5430208.4211453125,18869575.43479759 -5430340.466445308,18869548.24279759 -5430437.117545314,18869585.038097586 -5430622.68134531,18869550.744497586 -5430888.125345316,18869723.55679759 -5431139.140345323,18869820.4140976 -5431192.975945328,18869817.074297592 -5431272.410445335,18869902.92579761 -5431352.305645324,18869902.844197605 -5431511.45724533,18869852.6329976 -5431605.489045327,18869766.6116976 -5431843.902545334,18869667.51099759 -5432083.4254453415,18869589.766097583 -5432124.897445342,18869335.203697573 -5432402.602745351,18869326.353797574 -5432495.078045348,18869343.590897575 -5432635.086545345,18869277.33689758 -5433109.816245355,18869260.307897575 -5433200.293545365,18869177.228797577 -5433407.361045369,18869171.326097574 -5433508.262445362,18869202.269997578 -5433597.461945368,18869287.206897583 -5433738.700245375,18869222.747397587 -5433894.082845374,18869242.32039758 -5433978.657845367,18869337.97189758 -5434081.384945367,18869487.807597592 -5434212.113845378,18869541.723497592 -5434285.70894538,18869601.904297594 -5434465.707145371,18869728.514897604 -5434598.770045386,18869872.4152976 -5434812.14904539,18869946.552197617 -5434876.652145392,18870007.481697615 -5434960.497745388,18870236.51099762 -5435134.38384539,18870291.948797625 -5435211.3633454,18870318.998397626 -5435354.3140453985,18870355.405097634 -5435412.24554539,18870549.02379764 -5435563.901745396,18870671.63329765 -5435714.2139454065,18870813.056297656 -5435849.564645405,18870995.73229766 -5435986.657445407,18871184.234397665 -5436182.049545413,18871369.945097677 -5436325.902845407,18871437.21959767 -5436416.654845411,18871594.485897686 -5436529.449145412,18871863.658897705 -5436733.216945424,18872018.165197704 -5436912.245045426,18872188.78699771 -5437022.280245427,18872483.214697726 -5437255.30534542,18872699.570897732 -5437378.871745433,18872843.32669774 -5437567.713945432))"
Waikiti Hut from Haupri-Amuri roadend to Swingbring,Route,3,Rough but OK and reasonably well marked. A bit of regrowth in places and several patches of windthrow downriver from the bridge.,,,3,1.64363E+12,,,"MULTILINESTRING((19134331.841599997 -5249864.985742134,19134353.358299993 -5249872.5046421345,19134392.597700007 -5249886.21654213,19134425.960699994 -5249927.501942143,19134467.726200007 -5249846.378142135,19134488.788700007 -5249792.205442138,19134550.17459999 -5249765.796742138,19134571.5964 -5249684.402742134,19134599.3485 -5249637.1263421355,19134627.550199997 -5249555.8235421255,19134662.1719 -5249501.832742135,19134662.801400006 -5249454.195942139,19134636.938800003 -5249358.562242131,19134624.187599998 -5249297.135542128,19134611.526499998 -5249228.904042122,19134598.685599998 -5249174.283042133,19134606.27539999 -5249113.128342115,19134572.82450001 -5249078.652042126,19134546.8737 -5248989.826742127,19134567.8438 -5248942.463542114,19134589.6235 -5248833.857342122,19134578.042800006 -5248683.9728421215,19134565.832699995 -5248581.722642121,19134512.314499993 -5248526.5633421205,19134506.25490001 -5248472.036742118,19134500.01519999 -5248431.119342109,19134446.6784 -5248362.351642121,19134407.261799995 -5248266.547542113,19134387.733900003 -5248205.037142105,19134361.066400003 -5248170.653742109,19134321.020499997 -5248122.481042106,19134356.0894 -5248034.478342105,19134363.6798 -5247973.331242106,19134330.233699992 -5247938.858142101,19134282.23740001 -5247979.049642115,19134234.691699997 -5247985.220042101,19134201.155900005 -5247957.550742105,19134174.580000002 -5247916.363642107,19134127.395599995 -5247895.317042109,19134060.054399993 -5247860.390142103,19134101.181500003 -5247826.913842104,19134115.281799994 -5247786.270942102,19134109.405500006 -5247718.1402421,19134076.0515 -5247676.8634421,19134103.709799998 -5247636.402342101,19134124.769399993 -5247582.243142105,19134125.8527 -5247500.596842101,19134133.353899997 -5247446.257142097,19134133.98569999 -5247398.630742094,19134189.11959999 -5247331.318342095,19134216.866700005 -5247284.054742088,19134204.211000003 -5247215.837242087,19134211.9823 -5247141.088342087,19134260.064800005 -5247094.097342081,19134281.031999998 -5247046.744242099,19134281.663100004 -5246999.119842083,19134323.055900004 -5246945.235142085,19134364.088099997 -5246918.564242092,19134371.767599992 -5246850.620942087,19134412.79900001 -5246823.949942079,19134441.173800003 -5246729.065242081,19134373.389099993 -5246728.161242078,19134374.560299996 -5246639.719242077,19134348.257600002 -5246578.128942077,19134329.0941 -5246489.416942077,19134337.134000007 -5246394.264542082))"
Korepuku tops from the Otehake,Route,3,Good,,,3,1.61209E+12,,Frank King/ Honora Renwick/ DOC?,"MULTILINESTRING((19116369.533699997 -5283419.403342731,19116326.3313 -5283298.839742728,19116314.051399995 -5283264.57024272,19116330.82180001 -5283047.446242729,19116163.514899995 -5282579.612042714,19116152.311800003 -5282443.77384271,19116100.6631 -5282243.81294271,19115861.860499993 -5281757.054442706,19115782.81669999 -5281551.036842702,19115662.375199996 -5281445.748042704,19115614.393899992 -5281361.553242701,19115574.097900003 -5281317.7705426905,19115540.72559999 -5281257.294542695,19115524.1714 -5281245.156142688,19115507.44529999 -5281226.459342697,19115478.697299995 -5281201.840542696,19115429.560699996 -5281166.6641426915,19115411.41979999 -5281142.6184426965,19115394.513999995 -5281126.7869426925,19115386.148900002 -5281113.136242688,19115365.95269999 -5281098.892942695,19115329.426500004 -5281049.02234269,19115289.074199993 -5281009.063742683,19115262.8499 -5280988.581442696,19115206.401800003 -5280959.9844426885,19115155.643399995 -5280941.9918426955,19115119.740900002 -5280922.589442687,19115060.3818 -5280906.375942682,19114973.738199994 -5280894.521142692,19114873.061799996 -5280812.7911426835,19114775.865299992 -5280726.060742687,19114740.5239 -5280679.076242681,19114735.6518 -5280659.606342676,19114738.43959999 -5280602.149042682,19114785.207799997 -5280543.050442679,19114811.406199995 -5280494.150442686,19114836.3259 -5280431.027042678,19114845.23049999 -5280400.571342676,19114851.504799996 -5280328.692042687,19114845.61819999 -5280268.917442677,19114814.161099996 -5280208.338142679,19114777.588599995 -5280161.883642673,19114728.596199997 -5280126.709342677,19114711.852399994 -5280109.378642668,19114708.313500006 -5280100.5832426725,19114690.157199994 -5280086.644942673,19114674.449499995 -5279966.4917426715,19114622.413900007 -5279624.81094266,19114616.088899992 -5279588.791642661,19114607.17959999 -5279518.467442668,19114574.47229999 -5279467.651942667,19114503.4684 -5279403.116242668,19114237.583199993 -5279437.694242661,19114160.4874 -5279475.719742656,19114217.3185 -5279593.162742659))"
Fraser Peak – Bald Hill link track,Route,3,Good,,,3,1.64363E+12,,,"MULTILINESTRING((19025608.083599932 -5311433.6199432295,19025451.644999925 -5311285.4043432195,19025393.57099993 -5311270.287643225,19025306.929699924 -5311198.651243223,19025255.72269992 -5311087.547643225,19025246.81719992 -5311032.757343215,19025203.40259992 -5310994.708643213,19025133.271299932 -5310901.870643212,19025041.953999933 -5310843.526743223,19025026.404599924 -5310780.117143217,19024917.311499923 -5310805.989643222,19024862.76489992 -5310793.814343221,19024808.218399927 -5310766.420043212,19024762.577399917 -5310728.372443217,19024729.18149993 -5310672.062343212,19024738.087099932 -5310617.274443206,19024767.030199926 -5310564.008743206,19024715.82319993 -5310452.912643211,19024716.323099922 -5310360.891143203,19024685.203999937 -5310246.479443197,19024579.437999923 -5310038.760343203))"
Cone Creek Hut Track,Route,3,Getting overgrown. Some windthrow damage at the start. Retrimmed 2020,1.58047E+12,,3,1.58047E+12,,,"MULTILINESTRING((19121722.019800004 -5260216.137042327,19121504.724499997 -5260371.38084232,19121308.397100005 -5260374.213542329,19121108.624999993 -5260390.83074233,19120902.867999993 -5260428.521542324,19120724.5341 -5260421.022842327,19120631.7322 -5260444.082842323,19120515.392599996 -5260523.780842326,19120354.208600003 -5260563.743142333,19120148.300800003 -5260555.827742324,19120039.1086 -5260479.324242329,19119989.307499994 -5260446.027342328,19119866.332099993 -5260424.675442328,19119418.7769 -5260302.462442315,19119005.967200007 -5260354.952142325,19118624.916300002 -5260453.4842423275,19118514.549800005 -5260676.523842332,19118267.443 -5260711.913242323,19118133.115199994 -5260690.368542327,19118080.4172 -5260743.310342335,19118080.637700003 -5260837.748342337,19118122.73860001 -5260952.351842334,19118141.7708 -5261091.035242343,19118100.37919999 -5261256.497942339,19118036.2294 -5261424.879442341,19118014.516699996 -5261575.986942342,19118045.990599994 -5261641.590742351,19118135.811199993 -5261711.323942354,19118068.873999994 -5261848.733042353,19117991.087799996 -5261951.785242353,19117998.5672 -5262270.448642362,19117838.6748 -5262548.14984237,19117770.201699995 -5262679.032042365,19117687.221499994 -5262912.295642371,19117649.108999997 -5262965.466142377,19117610.6564 -5263041.431642379,19117521.552399993 -5263249.594542374,19117535.3283 -5263305.174142376,19117390.516 -5263548.922442383,19117290.091799986 -5263645.132242389,19117251.83459999 -5263749.376342389))"
Kiwi Flat Via South Bank of Waitaha,Route,2,Overgrowing but should still be followable,,,2,1.54988E+12,,Rory McDougall?,"MULTILINESTRING((19004400.563899867 -5326233.37024348,19004415.20979987 -5326356.315643483,19004397.534499872 -5326428.007843491,19004377.618199863 -5326471.821643491,19004366.292599868 -5326557.972943491,19004280.968699872 -5326582.7083434975,19004204.310799867 -5326634.887043499,19004195.827599864 -5326688.693943486,19004303.683199875 -5326898.4004435,19004372.537499875 -5326952.615643505,19004492.344899867 -5327560.926343507,19004552.13269987 -5327800.08574351,19004878.053599864 -5328350.561343526,19005144.71489987 -5328642.884743529,19005246.699299876 -5329073.264543541,19005371.721299868 -5329352.244043537,19005403.925199877 -5329562.183843538,19005374.995199878 -5329932.020843551,19005284.956799865 -5330110.13594356,19005083.930799864 -5330190.193443563,19005003.09009986 -5330378.065043556,19005017.904299866 -5330530.5311435675,19005152.143899877 -5330819.31224357,19005131.162299875 -5330894.775043573,19004966.17239987 -5331042.349543561,19004985.823399875 -5331366.043343574,19005143.112099864 -5331503.398143583,19005323.20729987 -5331600.293143576,19005558.69729988 -5331544.281543573,19005694.155199874 -5331573.229843579,19005756.772199877 -5331832.044743587,19005939.389199875 -5331869.703043578,19006124.294799883 -5331995.832543594))"
Top Crooked Hut to Tops Route,Route,2,Cut and marked to 1000m – track has vanished above here – very dense scrub,,,2,1.5174E+12,,,"MULTILINESTRING((19112578.499600004 -5267046.815042444,19112420.469699994 -5266923.951042445,19112402.727599993 -5266700.109642431,19112411.787600003 -5266568.268142442,19112501.380900007 -5266361.355842441,19112505.150399998 -5266349.941842435,19112499.44929999 -5266311.853442435,19112470.505699996 -5266121.438542426,19112469.983000003 -5266040.03264242,19112449.101099998 -5265945.15754243,19112448.335899994 -5265943.761042423))"
Goat Hill from Barack creek route,Route,3,,,,3,1.67516E+12,,Guy McKinnon,"MULTILINESTRING((19099859.530099995 -5288973.324142833,19100471.80053567 -5288522.573306009,19100642.005223326 -5288074.765860844,19100672.949402787 -5287781.377322747,19101030.302311108 -5287036.333740936,19101414.26969067 -5286252.6003833655,19101639.668763813 -5286001.706429544,19101822.666124567 -5285952.531385153,19102003.494425848 -5286033.916675976,19102229.987365805 -5286089.604589439))"
